ioc,ioc_type,threat_type,malware,confidence_level,reference,first_seen,last_seen,source,collection_date
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914483
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914495
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914504
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914513
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914520
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914526
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914532
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914542
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914549
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914554
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914560
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914567
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914572
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914597
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914603
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914607
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914612
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914617
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914627
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914633
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914639
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914644
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914650
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914655
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914660
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914664
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914669
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914675
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914680
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914686
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914696
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914701
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914706
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914712
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914717
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914724
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914729
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914734
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914738
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914743
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914747
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914752
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914756
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914761
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914765
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914772
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914777
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914783
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914788
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914793
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914799
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914804
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914810
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914815
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914820
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914827
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914833
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914838
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914843
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914848
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914854
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914859
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914864
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914869
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914874
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914880
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914885
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914890
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914895
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914902
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914908
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914913
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914918
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914924
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914929
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914934
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914939
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914945
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914950
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914955
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914961
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914966
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914971
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914976
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914981
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914986
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914991
,,,,,,,,ThreatFox,2025-12-18T05:16:37.914997
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915002
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915009
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915014
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915092
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915099
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915105
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915110
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915115
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915120
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915125
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915130
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915136
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915141
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915146
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915151
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915156
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915161
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915166
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915174
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915179
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915186
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915192
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915197
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915203
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915210
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915217
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915223
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915229
